TCGA-49-AAR2-01,-24.645731,-7.7615347,-12.438395,24.113794,7.6621437,21.78668,-2.1446671,0.699423,-0.1471251,0.03973976,1.0491495,1.7250923,-0.16088821,1.3327526,0.22127555,11.586964,-5.5152845,-2.7700567
TCGA-MP-A4SY-01,-24.970509,-9.353974,14.382001,-2.1875284,-2.1154702,29.49296,-3.2056742,-1.1878843,0.4865914,-0.5121484,-0.9547745,2.405159,0.47011617,2.6065216,0.7093841,-2.3016088,-5.7861013,22.847124
TCGA-44-6778-01,-29.651499,-1.995787,-12.420276,-1.5581446,17.59977,32.482048,-10.119936,-0.6278094,0.84105104,1.8150184,-0.12557943,2.148615,0.78868055,1.9471991,2.692925,7.245271,-0.9725664,4.2950497
TCGA-55-8510-01,-24.65368,-6.8152313,3.5966594,-10.730795,4.0397325,28.20575,-2.1660256,0.7635391,0.40635473,-0.72642064,-0.27426675,2.0643604,1.0540154,2.8620942,0.5071188,-7.563767,-8.965273,-3.1744056
TCGA-50-5946-02,-25.254955,-5.8696494,12.474707,-3.3951862,-7.2393894,28.528406,-7.1226163,-0.83953196,2.6298199,1.8359829,0.84486353,2.4420257,2.4250443,2.1721547,-0.27911308,4.605533,3.605129,-14.009363
TCGA-MP-A4TD-01,-28.642242,-10.129079,-11.22726,5.868027,4.7990913,29.87041,-5.2684155,-1.2725596,-0.46975023,0.6648295,-2.495531,0.39063013,-0.5429329,3.5017607,0.45879588,-9.862478,12.172395,0.81756496
TCGA-55-8205-01,-20.344114,-2.9238636,10.735701,-8.039203,15.709316,24.297512,-7.182696,0.18291588,0.71643233,-0.39380386,0.36792877,3.0163546,0.2818052,2.1780205,1.3428853,-5.443447,7.827644,0.13296083
TCGA-55-7573-01,-25.593607,-8.639693,-7.771943,-12.874347,-6.838029,32.54581,-4.246942,0.970138,-0.5543184,-0.31358534,-0.98476666,1.0996618,1.7897892,2.8899508,0.9404891,-6.1215787,-12.652351,10.155296
TCGA-MP-A4T4-01,-22.710234,-5.942583,5.7560287,-7.01038,-0.73343796,28.596157,-1.8591249,-0.8695893,-0.076138884,-0.36109146,-0.9787119,1.1738676,0.4204358,2.478141,0.34926495,-5.776516,-5.609043,-12.165327
TCGA-97-7941-01,-26.183416,-10.095261,-2.6616306,0.31584764,-3.2249303,33.285843,-8.347763,1.4570014,-2.372913,0.6242833,-1.7887877,0.31824648,-1.104828,2.6937892,1.1330885,-10.215649,-6.3511744,10.322133
TCGA-55-7994-01,-17.537458,0.1246346,10.435103,-2.120047,16.646893,19.98526,-9.155206,-1.2873443,1.7405187,-0.016516076,-0.1346039,1.41594,0.71671474,1.6893362,-0.8402402,-2.423553,10.940648,6.0481215
