TCGA-DD-AADQ-01,-10.147168,-2.5698826,3.1579978,-2.4070857,1.0577444,2.1437826,0.19770467,-6.478244,-13.027308,-0.7603396
TCGA-DD-A1EA-01,-12.221285,9.808455,2.9619513,-3.1130652,0.72533745,1.9728541,0.16083899,-0.73325914,-6.2285414,4.451879
TCGA-WQ-AB4B-01,-11.172836,-9.063557,2.4538908,-0.5693517,-0.55168873,2.995848,1.7354189,0.4161964,-1.9115977,6.875997
TCGA-RC-A7SH-01,-9.564704,-16.644966,3.170639,-0.95730543,0.59008193,3.0118177,2.8415718,-6.6200957,3.130179,-3.9331214
TCGA-BC-A10T-01,-14.6421385,-5.016555,2.7700605,-0.66168195,-0.5807916,3.2247832,0.7765001,14.369083,-4.8639135,6.0729012
TCGA-DD-A11A-11,-12.090371,-11.601395,2.3632646,-1.4466447,-1.4355252,1.7371737,1.4780852,2.059983,2.1124742,-8.0095825
TCGA-DD-A39W-01,-8.932389,5.2703433,3.8341584,-3.444521,0.60072917,2.2654195,-0.49598318,-22.457129,2.5833519,10.365352
TCGA-RC-A6M5-01,-13.982055,-4.191844,1.7754635,0.4489786,-0.9168374,2.858835,2.2029815,-9.41675,15.941768,-10.050388
TCGA-UB-A7MD-01,-15.499997,10.250022,2.9183848,-1.3130757,0.26007855,3.617534,-0.98423314,10.3223095,2.2867904,2.8494399
TCGA-2Y-A9H6-01,-12.068105,-13.163345,2.3903775,-0.8036198,-1.8494585,3.2962272,2.2850862,-14.993831,10.953447,-5.611675
TCGA-5C-A9VG-01,-11.059517,-3.2001793,2.0624423,-1.0834693,-0.81665856,2.995859,1.7104783,-0.77211004,6.5344996,-0.6409454
TCGA-CC-5264-01,-16.144022,5.3800383,4.162468,-2.4169977,1.6198187,4.2102556,0.7672926,8.963047,-2.7485282,-5.107621
TCGA-DD-A4NS-01,-15.739519,-7.283635,3.248849,-1.6648725,0.10604548,3.2873998,0.91754305,-4.6090813,11.590006,-5.929393
TCGA-QA-A7B7-01,-16.318705,2.1045184,3.728613,-2.2681432,1.630886,3.4142742,-0.4553962,12.506399,-4.6281734,5.132742
TCGA-DD-AAEB-01,-7.9441676,-8.807719,2.3125515,-1.6908276,-0.73010993,1.6077439,0.12120955,-3.2456772,-5.3690796,-1.4908804
TCGA-DD-A3A6-01,-9.091654,-0.28791758,1.1752924,-1.0274912,-0.161459,1.1018289,0.80612457,-8.101178,15.239066,-14.487849
TCGA-UB-A7MF-01,-10.599679,-5.956759,1.75324,-0.8656051,-0.55773854,1.665659,1.8591183,-7.3161316,1.9739716,4.7470126
TCGA-DD-AACW-01,-9.444629,-6.6690207,3.3303542,-1.5589947,0.5675433,1.5226767,1.2977455,-4.0132785,-4.1300116,-6.024054
TCGA-G3-A7M6-01,-17.009394,4.216087,5.4537277,-1.9089984,4.1976433,6.2632594,0.42966065,9.321119,9.637196,-14.370702
TCGA-GJ-A6C0-01,-17.865929,5.026622,4.566353,-3.2740386,0.7148038,3.4329512,0.20531154,-4.4998684,11.326462,-9.831063
TCGA-DD-A3A3-01,-10.156258,-7.271125,2.3468063,-1.5211413,-0.40114635,2.158582,1.7686377,-5.6076136,0.5216951,-7.8397107
TCGA-WX-AA44-01,-13.021714,-7.928962,3.5584471,-1.9598827,0.9856582,2.8839896,1.5229071,-17.240265,11.829072,-4.1742215
TCGA-MR-A520-01,-11.681652,-9.01641,2.6572907,-0.7341395,-0.699637,1.6501291,1.7641646,1.5258535,4.2262306,-5.9686956
TCGA-EP-A12J-11,-12.5927515,-16.332594,2.4900153,-1.5968819,-0.6786832,1.9020844,1.649509,3.6276515,4.8008604,-9.058356
TCGA-DD-AADK-01,-13.518693,-11.441633,2.1500196,-0.22898793,-0.8951277,2.7269943,1.9489954,-17.016598,10.043996,-10.643015
TCGA-DD-A73D-01,-7.580573,-1.3686007,1.0028317,-0.79503685,-0.74853027,0.37397507,1.0615785,-23.698484,-2.1085093,11.298925
TCGA-BW-A5NP-01,-9.321715,-8.249562,3.339083,-1.1681939,0.0760414,3.5082266,2.154976,-16.64298,14.426146,-5.658026
TCGA-DD-A4NN-01,-9.636243,-14.0210905,3.122208,-1.9442866,-0.11059099,2.6241033,2.2722454,-17.942392,11.048528,-1.3029698
TCGA-ZP-A9CZ-01,-13.496062,-4.986876,2.4948745,-0.67740774,-0.14151642,2.296976,1.6742662,-2.600376,1.2926522,-0.11884377
TCGA-CC-A8HS-01,-12.509182,-7.7552953,3.3173716,-2.3980114,0.8721764,2.2379873,2.0158036,-1.4150047,1.8467721,-6.889059
TCGA-G3-A6UC-01,-9.279411,-7.439381,1.3683847,-0.9822449,-0.68072736,0.5346969,1.2736477,-16.822954,-2.049773,1.3286597
